datetime_start,datetime_end,timestamp_start,timestamp_end,Set_Nominal_Displacement_B1_xingPlane,Set_Nominal_Displacement_B2_xingPlane,Set_Nominal_Displacement_B1_sepPlane,Set_Nominal_Displacement_B2_sepPlane,Nominal_Separation
2023-09-29|05:58:20,2023-09-29|05:58:50,1695967100.3148422,1695967130.29628,0.0,0.0,0.0,0.0,0.0
2023-09-29|05:59:07,2023-09-29|05:59:37,1695967147.409971,1695967177.434775,0.0,0.0,-0.0699264471350048,-0.0543872366605593,-0.0155392104744455
2023-09-29|05:59:56,2023-09-29|06:00:26,1695967196.35265,1695967226.3768249,0.0,0.0,-0.0543872366605593,-0.0388480261861138,-0.0155392104744455
2023-09-29|06:00:44,2023-09-29|06:01:14,1695967244.695082,1695967274.7222612,0.0,0.0,-0.0388480261861138,-0.0233088157116682,-0.0155392104744455
2023-09-29|06:01:33,2023-09-29|06:02:03,1695967293.342496,1695967323.367474,0.0,0.0,-0.0233088157116682,-0.0077696052372227,-0.0155392104744455
2023-09-29|06:02:21,2023-09-29|06:02:51,1695967341.688558,1695967371.717839,0.0,0.0,-0.0077696052372227,0.0077696052372227,-0.0155392104744455
2023-09-29|06:03:10,2023-09-29|06:03:40,1695967390.339943,1695967420.366205,0.0,0.0,0.0077696052372227,0.0233088157116682,-0.0155392104744455
2023-09-29|06:03:58,2023-09-29|06:04:28,1695967438.685957,1695967468.716697,0.0,0.0,0.0233088157116682,0.0388480261861138,-0.0155392104744455
2023-09-29|06:04:47,2023-09-29|06:05:17,1695967487.335045,1695967517.3630142,0.0,0.0,0.0388480261861138,0.0543872366605593,-0.0155392104744455
2023-09-29|06:05:35,2023-09-29|06:06:05,1695967535.683182,1695967565.7063591,0.0,0.0,0.0543872366605593,0.0699264471350048,-0.0155392104744455
2023-09-29|06:06:24,2023-09-29|06:06:54,1695967584.327968,1695967614.364238,0.0,0.0,0.0699264471350048,0.0543872366605593,0.0155392104744455
2023-09-29|06:07:12,2023-09-29|06:07:42,1695967632.6827018,1695967662.711219,0.0,0.0,0.0543872366605593,0.0388480261861138,0.0155392104744455
2023-09-29|06:08:01,2023-09-29|06:08:31,1695967681.332727,1695967711.3641782,0.0,0.0,0.0388480261861138,0.0233088157116682,0.0155392104744455
2023-09-29|06:08:49,2023-09-29|06:09:19,1695967729.683959,1695967759.711921,0.0,0.0,0.0233088157116682,0.0077696052372227,0.0155392104744455
2023-09-29|06:09:38,2023-09-29|06:10:08,1695967778.331978,1695967808.3562748,0.0,0.0,0.0077696052372227,-0.0077696052372227,0.0155392104744455
2023-09-29|06:10:26,2023-09-29|06:10:56,1695967826.6763902,1695967856.703534,0.0,0.0,-0.0077696052372227,-0.0233088157116682,0.0155392104744455
2023-09-29|06:11:15,2023-09-29|06:11:45,1695967875.32285,1695967905.350023,0.0,0.0,-0.0233088157116682,-0.0388480261861138,0.0155392104744455
2023-09-29|06:12:03,2023-09-29|06:12:33,1695967923.668268,1695967953.694256,0.0,0.0,-0.0388480261861138,-0.0543872366605593,0.0155392104744455
2023-09-29|06:12:52,2023-09-29|06:13:22,1695967972.314769,1695968002.341217,0.0,0.0,-0.0543872366605593,-0.0699264471350048,0.0155392104744455
2023-09-29|06:13:37,2023-09-29|06:14:07,1695968017.654229,1695968047.67964,0.0,0.0,-6.938893903907228e-18,0.0,-6.938893903907228e-18
